combo,model,ms_per_sample,n_test
ECG,GB,0.0001,7537
ECG,LGBM,0.0002,7537
ECG,LDA,0.0,7537
ECG,LR,0.0,7537
ECG,MLP,0.0001,7537
ECG,RF,0.0084,7537
ECG,SVM,0.8366,7537
ECG,XGBoost,0.0007,7537
EDA,GB,0.0019,7537
EDA,LGBM,0.2122,7537
EDA,LDA,0.0,7537
EDA,LR,0.0,7537
EDA,MLP,0.0001,7537
EDA,RF,0.025,7537
EDA,SVM,0.8284,7537
EDA,XGBoost,0.0023,7537
EEG,GB,0.0025,7537
EEG,LGBM,0.1914,7537
EEG,LDA,0.0,7537
EEG,LR,0.0001,7537
EEG,MLP,0.0002,7537
EEG,RF,0.0316,7537
EEG,SVM,1.0242,7537
EEG,XGBoost,0.0025,7537
Gaze,GB,0.0023,7537
Gaze,LGBM,0.2065,7537
Gaze,LDA,0.0,7537
Gaze,LR,0.0,7537
Gaze,MLP,0.0001,7537
Gaze,RF,0.0243,7537
Gaze,SVM,0.7895,7537
Gaze,XGBoost,0.0023,7537
ECG+EDA,GB,0.002,7537
ECG+EDA,LGBM,0.2027,7537
ECG+EDA,LDA,0.0,7537
ECG+EDA,LR,0.0,7537
ECG+EDA,MLP,0.0001,7537
ECG+EDA,RF,0.0255,7537
ECG+EDA,SVM,1.1899,7537
ECG+EDA,XGBoost,0.0024,7537
ECG+EEG,GB,0.0026,7537
ECG+EEG,LGBM,0.1769,7537
ECG+EEG,LDA,0.0,7537
ECG+EEG,LR,0.0001,7537
ECG+EEG,MLP,0.0002,7537
ECG+EEG,RF,0.0313,7537
ECG+EEG,SVM,1.2426,7537
ECG+EEG,XGBoost,0.0025,7537
ECG+Gaze,GB,0.0024,7537
ECG+Gaze,LGBM,0.2092,7537
ECG+Gaze,LDA,0.0,7537
ECG+Gaze,LR,0.0,7537
ECG+Gaze,MLP,0.0001,7537
ECG+Gaze,RF,0.0247,7537
ECG+Gaze,SVM,1.1326,7537
ECG+Gaze,XGBoost,0.0024,7537
EDA+EEG,GB,0.0027,7537
EDA+EEG,LGBM,0.1867,7537
EDA+EEG,LDA,0.0,7537
EDA+EEG,LR,0.0001,7537
EDA+EEG,MLP,0.0002,7537
EDA+EEG,RF,0.0301,7537
EDA+EEG,SVM,1.1458,7537
EDA+EEG,XGBoost,0.0025,7537
EDA+Gaze,GB,0.0025,7537
EDA+Gaze,LGBM,0.1978,7537
EDA+Gaze,LDA,0.0,7537
EDA+Gaze,LR,0.0,7537
EDA+Gaze,MLP,0.0001,7537
EDA+Gaze,RF,0.0253,7537
EDA+Gaze,SVM,0.9901,7537
EDA+Gaze,XGBoost,0.0024,7537
EEG+Gaze,GB,0.0026,7537
EEG+Gaze,LGBM,0.1808,7537
EEG+Gaze,LDA,0.0,7537
EEG+Gaze,LR,0.0001,7537
EEG+Gaze,MLP,0.0002,7537
EEG+Gaze,RF,0.0306,7537
EEG+Gaze,SVM,1.1741,7537
EEG+Gaze,XGBoost,0.0025,7537
ECG+EDA+EEG,GB,0.0028,7537
ECG+EDA+EEG,LGBM,0.1875,7537
ECG+EDA+EEG,LDA,0.0001,7537
ECG+EDA+EEG,LR,0.0001,7537
ECG+EDA+EEG,MLP,0.0002,7537
ECG+EDA+EEG,RF,0.0313,7537
ECG+EDA+EEG,SVM,1.3253,7537
ECG+EDA+EEG,XGBoost,0.0025,7537
ECG+EDA+Gaze,GB,0.0026,7537
ECG+EDA+Gaze,LGBM,0.1925,7537
ECG+EDA+Gaze,LDA,0.0,7537
ECG+EDA+Gaze,LR,0.0001,7537
ECG+EDA+Gaze,MLP,0.0002,7537
ECG+EDA+Gaze,RF,0.0255,7537
ECG+EDA+Gaze,SVM,1.2955,7537
ECG+EDA+Gaze,XGBoost,0.0025,7537
ECG+EEG+Gaze,GB,0.0026,7537
ECG+EEG+Gaze,LGBM,0.1807,7537
ECG+EEG+Gaze,LDA,0.0001,7537
ECG+EEG+Gaze,LR,0.0001,7537
ECG+EEG+Gaze,MLP,0.0002,7537
ECG+EEG+Gaze,RF,0.0314,7537
ECG+EEG+Gaze,SVM,1.3521,7537
ECG+EEG+Gaze,XGBoost,0.0025,7537
EDA+EEG+Gaze,GB,0.0027,7537
EDA+EEG+Gaze,LGBM,0.1843,7537
EDA+EEG+Gaze,LDA,0.0001,7537
EDA+EEG+Gaze,LR,0.0001,7537
EDA+EEG+Gaze,MLP,0.0002,7537
EDA+EEG+Gaze,RF,0.0296,7537
EDA+EEG+Gaze,SVM,1.2555,7537
EDA+EEG+Gaze,XGBoost,0.0025,7537
All,GB,0.0027,7537
All,LGBM,0.1856,7537
All,LDA,0.0001,7537
All,LR,0.0001,7537
All,MLP,0.0002,7537
All,RF,0.031,7537
All,SVM,1.4377,7537
All,XGBoost,0.0026,7537
