,,Accuracy,F1_weighted,F1_macro,Train_Accuracy,Train_F1_weighted,Train_F1_macro
ECG,GB,71.01,58.97,41.52,71.01,58.97,41.52
ECG,LGBM,71.01,58.97,41.52,71.01,58.97,41.52
ECG,LDA,71.01,58.97,41.52,71.01,58.97,41.52
ECG,LR,71.01,58.97,41.52,71.01,58.97,41.52
ECG,MLP,71.01,58.97,41.52,71.01,58.97,41.52
ECG,RF,71.01,58.97,41.52,71.01,58.97,41.52
ECG,SVM,71.01,58.97,41.52,71.01,58.97,41.52
ECG,XGBoost,71.01,58.97,41.52,71.01,58.97,41.52
ECG,Transformer,71.01,58.97,41.52,71.01,58.97,41.52
ECG,CNN,72.55,68.18,57.76,73.2,68.88,58.65
EDA,GB,71.94,64.27,50.66,74.17,67.33,54.98
EDA,LGBM,72.17,63.37,48.87,74.07,66.24,53.04
EDA,LDA,66.81,55.23,41.17,66.83,55.25,41.2
EDA,LR,71.12,61.03,45.19,71.15,61.1,45.3
EDA,MLP,69.15,65.02,53.87,76.03,72.84,64.19
EDA,RF,71.57,62.28,47.22,72.17,63.13,48.43
EDA,SVM,71.66,63.55,49.49,74.55,67.58,55.21
EDA,XGBoost,71.01,58.97,41.52,71.01,58.97,41.52
EDA,Transformer,70.92,64.15,51.05,74.63,68.98,57.77
EDA,CNN,71.0,59.34,42.2,71.01,59.36,42.22
