,,Accuracy,F1_weighted,F1_macro
ECG,GB,57.36,56.69,44.81
ECG,LGBM,57.15,56.85,44.82
ECG,LDA,,,
ECG,LR,48.3,43.36,36.5
ECG,MLP,58.37,57.07,44.24
ECG,RF,56.13,52.9,41.71
ECG,SVM,50.0,49.08,40.49
ECG,XGBoost,53.02,53.74,43.12
EDA,GB,55.88,57.56,47.21
EDA,LGBM,57.61,58.35,47.74
EDA,LDA,,,
EDA,LR,53.36,55.76,46.9
EDA,MLP,58.06,58.73,46.46
EDA,RF,57.07,57.76,48.01
EDA,SVM,56.36,58.13,47.6
EDA,XGBoost,55.1,56.64,47.06
EEG,GB,58.19,56.46,44.5
EEG,LGBM,58.46,55.95,43.33
EEG,LDA,,,
EEG,LR,55.1,52.84,43.17
EEG,MLP,60.42,58.91,45.9
EEG,RF,55.12,52.5,41.45
EEG,SVM,59.44,58.42,46.11
EEG,XGBoost,53.36,52.55,41.72
Gaze,GB,50.78,50.65,41.34
Gaze,LGBM,51.79,51.52,42.78
Gaze,LDA,,,
Gaze,LR,39.44,37.43,34.73
Gaze,MLP,55.66,56.39,45.16
Gaze,RF,43.74,41.06,35.76
Gaze,SVM,48.53,49.89,42.21
Gaze,XGBoost,48.2,49.41,40.69
ECG+EDA,GB,59.74,59.69,47.67
ECG+EDA,LGBM,60.61,60.07,48.58
ECG+EDA,LDA,,,
ECG+EDA,LR,51.29,49.22,42.32
ECG+EDA,MLP,62.96,62.45,49.59
ECG+EDA,RF,60.27,59.49,48.86
ECG+EDA,SVM,59.14,59.73,48.14
ECG+EDA,XGBoost,55.84,56.18,44.86
ECG+EEG,GB,62.06,58.32,45.04
ECG+EEG,LGBM,62.48,57.43,43.09
ECG+EEG,LDA,62.53,57.6,43.98
ECG+EEG,LR,55.31,52.3,42.52
ECG+EEG,MLP,60.81,58.67,46.28
ECG+EEG,RF,61.16,56.12,43.11
ECG+EEG,SVM,62.42,59.44,45.85
ECG+EEG,XGBoost,55.84,53.47,41.74
ECG+Gaze,GB,59.37,57.7,44.94
ECG+Gaze,LGBM,60.25,57.25,43.52
ECG+Gaze,LDA,57.89,52.18,39.31
ECG+Gaze,LR,44.79,40.26,35.89
ECG+Gaze,MLP,57.99,58.29,46.9
ECG+Gaze,RF,55.32,50.62,39.96
ECG+Gaze,SVM,54.24,54.77,45.34
ECG+Gaze,XGBoost,49.71,50.17,40.92
EDA+EEG,GB,62.82,61.24,49.26
EDA+EEG,LGBM,61.87,59.65,46.96
EDA+EEG,LDA,65.62,61.06,47.3
EDA+EEG,LR,58.33,58.02,48.12
EDA+EEG,MLP,62.98,61.88,49.73
EDA+EEG,RF,59.66,57.15,46.08
EDA+EEG,SVM,63.6,62.82,50.67
EDA+EEG,XGBoost,57.2,57.2,46.31
EDA+Gaze,GB,53.56,53.55,44.53
EDA+Gaze,LGBM,52.58,51.74,42.71
EDA+Gaze,LDA,63.43,55.68,42.19
EDA+Gaze,LR,47.26,46.5,41.32
EDA+Gaze,MLP,56.88,56.73,45.91
EDA+Gaze,RF,52.1,51.11,44.12
EDA+Gaze,SVM,55.68,56.65,46.47
EDA+Gaze,XGBoost,50.67,51.24,42.02
EEG+Gaze,GB,56.92,54.86,44.4
EEG+Gaze,LGBM,57.51,55.85,45.0
EEG+Gaze,LDA,62.12,57.59,43.93
EEG+Gaze,LR,52.56,51.07,41.72
EEG+Gaze,MLP,59.85,58.78,46.66
EEG+Gaze,RF,56.79,52.81,41.8
EEG+Gaze,SVM,57.89,56.97,45.38
EEG+Gaze,XGBoost,51.38,52.4,43.85
ECG+EDA+EEG,GB,63.15,59.41,46.37
ECG+EDA+EEG,LGBM,63.94,59.72,47.17
ECG+EDA+EEG,LDA,64.87,60.42,47.76
ECG+EDA+EEG,LR,58.62,57.35,48.51
ECG+EDA+EEG,MLP,65.74,63.6,50.39
ECG+EDA+EEG,RF,60.96,56.92,44.66
ECG+EDA+EEG,SVM,64.66,62.34,49.71
ECG+EDA+EEG,XGBoost,57.74,56.5,44.94
ECG+EDA+Gaze,GB,59.66,58.4,47.44
ECG+EDA+Gaze,LGBM,60.14,57.61,45.37
ECG+EDA+Gaze,LDA,59.97,54.51,42.06
ECG+EDA+Gaze,LR,46.37,44.36,39.27
ECG+EDA+Gaze,MLP,59.76,59.23,47.34
ECG+EDA+Gaze,RF,57.15,56.23,46.93
ECG+EDA+Gaze,SVM,57.75,58.75,47.5
ECG+EDA+Gaze,XGBoost,53.81,52.45,42.27
ECG+EEG+Gaze,GB,59.18,55.89,44.92
ECG+EEG+Gaze,LGBM,58.37,54.34,42.25
ECG+EEG+Gaze,LDA,62.7,58.12,45.09
ECG+EEG+Gaze,LR,55.87,54.14,44.47
ECG+EEG+Gaze,MLP,59.36,56.84,44.76
ECG+EEG+Gaze,RF,58.93,53.92,41.26
ECG+EEG+Gaze,SVM,59.36,57.59,45.08
ECG+EEG+Gaze,XGBoost,53.59,52.29,42.2
EDA+EEG+Gaze,GB,58.69,56.15,46.8
EDA+EEG+Gaze,LGBM,59.01,57.1,46.48
EDA+EEG+Gaze,LDA,62.87,58.39,44.98
EDA+EEG+Gaze,LR,55.25,54.69,45.98
EDA+EEG+Gaze,MLP,60.71,58.84,47.81
EDA+EEG+Gaze,RF,57.84,54.7,44.35
EDA+EEG+Gaze,SVM,61.22,59.83,49.07
EDA+EEG+Gaze,XGBoost,50.6,51.89,44.13
All,GB,61.18,57.97,47.79
All,LGBM,58.97,55.62,44.28
All,LDA,64.59,60.3,47.8
All,LR,57.34,56.62,47.52
All,MLP,62.54,60.17,48.95
All,RF,59.82,55.81,44.74
All,SVM,63.27,60.92,49.02
All,XGBoost,54.65,54.55,44.22
